,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594840088925414148,24.0,-61.0,960.0,0.0,-0.0625,-0.1875,25.75,10.875,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.5,173477,0,
1594840088959557772,22.0,-62.0,963.0,0.1875,0.0,-0.0625,25.0625,11.25,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.5,173477,0,
1594840088993146571,22.0,-62.0,962.0,0.125,-0.125,0.0,24.375,10.875,-73.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.5,173477,0,
1594840089028160263,25.0,-64.0,959.0,0.125,0.0,-0.125,24.375,10.875,-73.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.5,173477,0,
1594840089061665791,23.0,-63.0,962.0,0.1875,-0.1875,-0.0625,24.375,10.875,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089097286228,23.0,-64.0,960.0,-0.0625,0.125,-0.0625,25.0625,10.875,-71.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089132256331,22.0,-63.0,962.0,0.0625,-0.0625,0.0,25.0625,10.875,-71.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089156761122,22.0,-63.0,960.0,0.0625,-0.125,0.0,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089182486771,21.0,-62.0,958.0,-0.125,0.0,0.0,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089207196626,22.0,-62.0,963.0,-0.0625,0.0625,0.125,24.75,10.1875,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089234588145,22.0,-63.0,961.0,-0.125,0.1875,0.0625,24.75,10.1875,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089268260759,26.0,-64.0,961.0,-0.0625,-0.125,0.0,25.375,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,173477,0,
1594840089302253119,23.0,-65.0,960.0,0.0625,0.1875,-0.0625,25.0625,11.5625,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,131072,0,
1594840089336475648,22.0,-64.0,960.0,-0.0625,0.0,0.0,25.0625,11.5625,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,131072,0,
1594840089371546978,22.0,-62.0,959.0,-0.125,-0.125,-0.0625,24.75,10.1875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,131072,0,
1594840089406376018,23.0,-62.0,963.0,-0.125,0.0625,0.0,24.375,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101665.25,131072,0,
1594840089441706319,24.0,-64.0,959.0,0.0,0.0625,-0.125,24.375,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089476348273,21.0,-64.0,956.0,-0.1875,0.0,-0.125,25.0625,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089511471863,21.0,-63.0,961.0,0.0625,0.1875,-0.0625,25.375,11.25,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089545525593,22.0,-63.0,961.0,-0.0625,0.0,0.0,25.375,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089579085581,22.0,-63.0,962.0,-0.0625,-0.125,-0.0625,25.375,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089611890489,23.0,-62.0,961.0,0.0,-0.0625,0.0,25.75,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089644726917,24.0,-63.0,961.0,0.0625,0.0625,0.125,25.0625,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089679855808,22.0,-64.0,961.0,0.0,0.0,0.0,25.0625,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089715883494,23.0,-63.0,961.0,-0.1875,-0.0625,0.0,25.0625,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089748562653,22.0,-65.0,960.0,-0.125,0.0,-0.0625,25.0625,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089781965366,22.0,-65.0,957.0,0.0625,-0.0625,0.0,25.0625,10.5625,-71.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840089814706148,22.0,-63.0,960.0,-0.1875,0.0625,-0.125,25.0625,10.1875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840089848835391,23.0,-61.0,961.0,-0.125,0.125,-0.125,25.0625,10.1875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
