,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),
1594830715015606914,-13.0,-64.0,949.0,-0.0625,0.0,0.0625,-22.75,33.0625,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715037717979,-13.0,-66.0,950.0,0.125,-0.25,0.125,-22.75,33.0625,-53.75,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715061226354,-14.0,-66.0,950.0,0.0,-0.0625,0.125,-22.75,33.0625,-53.75,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715082395828,-15.0,-64.0,950.0,-0.1875,0.0,-0.0625,-22.75,33.0625,-53.75,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715100186472,-12.0,-65.0,950.0,-0.0625,0.125,0.125,-22.75,32.25,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715115850110,-13.0,-67.0,950.0,0.125,0.0,0.0625,-22.75,32.25,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715131266496,-14.0,-66.0,951.0,0.0,-0.0625,0.125,-22.75,32.25,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715146281146,-15.0,-63.0,951.0,-0.0625,0.0625,0.0,-22.75,33.0625,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715161501791,-14.0,-64.0,950.0,0.0,0.125,0.0,-22.75,33.0625,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
