,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594838228335966788,23.0,-70.0,960.0,-0.1875,-0.0625,-0.1875,11.25,-4.6875,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228363118033,23.0,-69.0,965.0,0.125,0.0,-0.0625,10.875,-5.375,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228394481401,23.0,-70.0,960.0,0.0625,0.0,0.0,11.25,-5.0625,-39.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228426925231,21.0,-72.0,961.0,0.1875,0.125,0.0,11.25,-5.0625,-39.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228459066034,24.0,-69.0,963.0,0.0,0.25,0.0,10.5625,-3.5625,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228494532798,22.0,-69.0,960.0,0.25,-0.0625,0.0,11.5625,-5.0625,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228526487355,24.0,-68.0,959.0,0.1875,0.0,-0.0625,11.5625,-5.0625,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228565954365,22.0,-70.0,960.0,0.0625,-0.0625,-0.0625,11.25,-4.6875,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228600520689,26.0,-69.0,963.0,-0.0625,-0.125,-0.0625,10.5625,-5.0625,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101655.25,131072,0,
1594838228635441730,24.0,-70.0,959.0,-0.0625,-0.0625,-0.0625,10.5625,-5.0625,-38.5,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228671309508,22.0,-69.0,963.0,0.0,0.0,-0.0625,11.25,-4.6875,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228706582771,22.0,-71.0,960.0,0.0,-0.0625,0.0,10.875,-5.0625,-38.375,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228742561229,23.0,-71.0,959.0,0.0,-0.1875,-0.0625,11.25,-5.0625,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
